,time,velocity
0,1572860115644,7.128
1,1572860116074,7.38
2,1572860116469,9.648
3,1572860116907,9.756
4,1572860117296,10.296
5,1572860117735,9.612
6,1572860118125,10.008
7,1572860118572,10.584
8,1572860118950,9.324
9,1572860119389,9.972
10,1572860119831,9.792
11,1572860120220,9.432
12,1572860120617,9.792
13,1572860121046,8.352
14,1572860121441,9.072
15,1572860121878,8.604
16,1572860122271,8.676
17,1572860122759,9.432
18,1572860123098,8.316
19,1572860123537,9.0
20,1572860123975,8.316
21,1572860124361,9.504
22,1572860124752,8.676
23,1572860125195,9.18
24,1572860125580,8.784
25,1572860126024,8.748
26,1572860126409,9.36
27,1572860126849,8.748
28,1572860127238,9.756
29,1572860127676,8.676
