,time,velocity
0,1572862932433,0
1,1572862932867,0
2,1572862933258,0
3,1572862933745,0
4,1572862934086,0
5,1572862934525,0
6,1572862934915,0
7,1572862935360,0
8,1572862935744,0
9,1572862936232,0
10,1572862936572,0
11,1572862937010,0
12,1572862937401,0
13,1572862937889,0
14,1572862938230,0
15,1572862938716,0
16,1572862939058,0
17,1572862939497,0
18,1572862939887,0
19,1572862940375,0
20,1572862940716,0
21,1572862941156,0
22,1572862941546,0
23,1572862941985,0
24,1572862942423,0
25,1572862942812,0
26,1572862943203,0
27,1572862943692,0
28,1572862944034,0
29,1572862944472,0
30,1572862944862,0
31,1572862945301,0
32,1572862945691,0
33,1572862946081,0
34,1572862946519,0
35,1572862946909,0
36,1572862947346,0
37,1572862947735,0
38,1572862948174,0
39,1572862948565,0
40,1572862949003,0
41,1572862949393,0
42,1572862949833,0
